term,pos,Agreed,definition,source,comments,ES,FR
schema,Noun,,"A list of field definitions, usually representing a community specification for presenting machine-readable data","https://dkan.readthedocs.io/en/7.x-1.x/components/open-data-schema.html#:~:text=A%20schema%20is%20a%20list,a%20standard%20Drupal%20.",,esquema,schéma
sector code,Noun,,"A recognised code, from a recognised vocabulary, classifying the purpose of the activity.",https://iatistandard.org/en/iati-standard/203/activity-standard/iati-activities/iati-activity/sector/,,código de sector,code secteur
Sphinx,Noun,,Documentation software used for IATI's docs sites,,,Sphinx,Sphinx
transparency,Noun,,The quality of being done in an open way without secrets,https://dictionary.cambridge.org/dictionary/english/transparency,,transparencia,transparence
user,Noun,,Individual or group that interacts with a system or benefits from a system during its utilization.,https://csrc.nist.gov/glossary/term/user,,usuario,utilisateur
validation,Noun,,See data validation,,,validación,validation
verification,Noun,,See data verification,,,verificación,vérification
Extensible Markup Language (XML),Noun,,A flexible text format designed to describe data for electronic publishing,https://csrc.nist.gov/glossary/term/xml,,Lenguaje de Marcado Extensible (XML),langage de balisage extensible (XML)
workspace,Noun,,A personal area on the IATI Validator that stores a history of files validated by a user,Simon made this up,,espacio de trabajo,espace de travail
Young Innovations,Noun,,A software development company in Nepal who produce IATI Publisher and AidStream,,,Young Innovations,Young Innovations
In IATI,,,Referring to something that happens within or is a property of IATI,Discussion with Strategic Agenda,,En IATI,Dans l'IITA
